K17,50.4
K18,59.437
K19,0
K20,62.9245
K21,74.1005
K22,111.902
K23,113.567
K24,0
K25,116.25
K26,124.386
L1,0
L2,0
L3,82.5085
L4,82.5215
L5,0
L6,0
L7,0
L8,99.647
L9,0
L10,0
L11,0
L12,0
L13,0
L14,0
L15,0
L16,0
L17,48.0785
L18,53.61
L19,60.5595
L20,57.8915
L21,0
L22,104.327
L23,105.251
L24,119.32
L25,114.272
L26,0
M1,90.619
M2,90.572
M3,0
M4,0
M5,0
M6,77.77
M7,0
M8,0
M9,0
M10,0
M11,0
M12,0
M13,0
M14,0
M15,0
M16,38.856
M17,55.414
M18,0
M19,100.607
M20,83.204
M21,97.124
M22,102.601
M23,0
M24,108.4995
M25,111.663
M26,113.291
N1,0
N2,0
N3,84.2475
N4,83.947
N5,0
N6,0
N7,0
N8,85.24
N9,0
N10,0
N11,106.713
N12,91.795
N13,0
N14,0
N15,0
N16,49.5245
N17,66.055
N18,87.0915
N19,74.8725
N20,0
N21,84.593
N22,87.8775
N23,100.009
N24,103.436
N25,0
N26,118.807
P1,98.612
P2,98.5125
P3,0
P4,0
P5,110.162
P6,105.309
P7,105.281
P8,0
P9,0
P10,0
P11,96.754
P12,87.647
P13,0
P14,0
P15,0
P16,53.9405
P17,0
P18,73.37
P19,87.382
P20,86.5375
P21,70.035
P22,0
P23,97.2
P24,90.2325
P25,99.588
P26,120.441
R1,0
R2,0
R3,90.8575
R4,90.816
R5,0
R6,113.949
R7,110.635
R8,0
R9,0
R10,0
R11,102.884
R12,90.995
R13,0
R14,0
R15,0
R16,66.8705
R17,66.6675
R18,64.1165
R19,0
R20,61.607
R21,70.7335
R22,82.723
R23,86.22
R24,0
R25,95.186
R26,110.863
T1,0
T2,161.15
T3,0
T4,0
T5,149.266
T6,0
T7,63.5075
T8,0
T9,0
T10,0
T11,0
T12,0
T13,0
T14,0
T15,0
T16,0
T17,73.7045
T18,58.72
T19,54.2315
T20,61.672
T21,0
T22,78.212
T23,82.5115
T24,93.81
T25,97.198
T26,0
U1,118.762
U2,111.749
U3,0
U4,112.499
U5,90.07
U6,86.961
U7,87.2915
U8,0
U9,67.6715
U10,0
U11,0
U12,0
U13,0
U14,0
U15,0
U16,73.408
U17,78.799
U18,0
U19,62.0945
U20,61.2415
U21,63.808
U22,77.6975
U23,0
U24,84.4915
U25,95.7045
U26,101.457
V1,137.831
V2,125.054
V3,112.892
V4,107.067
V5,0
V6,95.3035
V7,80.607
V8,74.7785
V9,69.599
V10,0
V11,63.3355
V12,65.38
V13,61.005
V14,116.222
V15,0
V16,160.695
V17,149.752
V18,122.204
V19,124.578
V20,0
V21,65.799
V22,76.712
V23,89.595
V24,92.3095
V25,0
V26,105.475
W1,129.136
W2,0
W3,127.679
W4,102.056
W5,116.172
W6,119.213
W7,0
W8,71.012
W9,83.7395
W10,85.3065
W11,68.818
W12,0
W13,64.94
W14,114.701
W15,117.479
W16,116.622
W17,0
W18,128.033
W19,126.904
W20,76.1565
W21,70.6085
W22,0
W23,97.1265
W24,97.368
W25,97.321
W26,108.397
Y1,136.418
Y2,131.354
Y3,122.876
Y4,0
Y5,108.752
Y6,125.446
Y7,92.1695
Y8,88.8845
Y9,0
Y10,96.9045
Y11,101.127
Y12,147.949
Y13,149.257
Y14,0
Y15,112.612
Y16,112.875
Y17,140.378
Y18,141.757
Y19,0
Y20,61.582
Y21,74.581
Y22,79.191
Y23,97.39
Y24,0
Y25,98.9405
Y26,107.772
